orgid,sectorid
164,201
165,340
167,339
168,339
170,339
1,339
172,339
174,339
176,339
178,339
180,339
182,339
184,339
186,339
188,339
190,339
192,339
194,339
196,339
198,339
200,339
202,339
204,339
206,339
208,339
210,339
212,339
214,339
216,339
218,339
220,339
222,339
224,339
226,339
228,339
230,339
232,339
234,339
236,339
238,339
240,339
242,339
244,339
246,339
248,339
250,339
252,339
254,339
256,339
258,339
260,339
262,339
264,339
266,339
166,339
2,163
3,163
4,163
5,163
6,167
7,163
8,169
9,170
10,167
11,172
12,167
13,174
14,175
15,176
16,177
17,163
18,179
19,180
20,174
21,182
22,183
23,184
24,185
25,186
26,167
27,188
28,189
29,190
30,185
31,167
32,193
33,186
34,185
35,196
36,163
37,186
38,184
39,174
40,201
41,202
42,167
43,204
44,186
45,206
46,167
47,201
48,170
49,210
50,167
51,212
52,213
53,167
54,174
55,216
56,217
57,190
58,167
59,167
60,175
61,222
62,223
63,224
64,185
65,204
66,227
67,167
68,229
69,184
70,163
71,163
72,184
73,190
74,163
75,163
76,163
77,186
78,239
79,240
80,240
81,188
82,188
83,244
84,167
85,179
86,212
87,163
88,167
89,250
90,167
91,167
92,185
93,240
94,167
95,256
96,174
97,258
98,163
99,167
100,174
101,167
102,167
103,188
104,185
105,170
106,188
107,167
108,167
109,223
110,201
111,163
112,167
113,190
114,167
115,167
116,174
117,163
118,163
119,280
120,163
121,240
122,167
123,167
124,167
125,286
126,167
127,167
128,240
129,167
130,174
131,185
132,167
133,185
134,163
135,167
136,163
137,298
138,299
139,190
140,301
141,223
142,303
143,227
144,167
145,170
146,167
147,174
148,240
149,167
150,167
151,167
152,163
153,188
154,163
155,167
156,163
157,223
158,258
159,185
160,167
161,167
162,167
163,229
171,339
169,339
173,339
175,339
177,339
179,339
181,339
183,339
185,339
187,339
189,339
191,339
193,339
195,339
197,339
199,339
201,339
203,339
205,339
207,339
209,339
211,339
213,339
215,339
217,339
219,339
221,339
223,339
225,339
227,339
229,339
231,339
233,339
235,339
237,339
239,339
241,339
243,339
245,339
247,339
249,339
251,339
253,339
255,339
257,339
259,339
261,339
263,339
265,339
